iter	RMSE
732	0.1093174327
733	0.1092049172
734	0.1091088265
735	0.1089808233
736	0.1088161207
737	0.1086949684
738	0.108544794
739	0.1084075848
740	0.1082128403
741	0.1081150484
742	0.1079806313
743	0.1078957312
744	0.1077521899
745	0.1076374723
746	0.1074768087
747	0.1073683073
748	0.1072466884
749	0.1071505065
750	0.1070307737
751	0.1068785662
752	0.1067998262
753	0.1066504303
754	0.1065715646
755	0.1064780709
756	0.106348617
757	0.1062173519
758	0.1061133472
759	0.1060490261
760	0.1059946715
761	0.1058936509
762	0.1057028552
763	0.1056161187
764	0.1055305877
765	0.1054312477
766	0.1052876968
767	0.1051035395
768	0.1049670821
769	0.1048183318
770	0.1047690842
771	0.1046960888
772	0.104594014
773	0.1044635002
774	0.1043666797
775	0.1042747722
776	0.1040791975
777	0.1040021769
778	0.1038841993
779	0.1038244186
780	0.1037911774
781	0.1036413337
782	0.1035333438
783	0.1034915368
784	0.1033616627
785	0.1032457428
786	0.1031515862
787	0.103010878
788	0.1029167051
789	0.1028466474
790	0.1027133589
791	0.1026429294
792	0.1024954577
793	0.1023775129
794	0.1023088188
795	0.1022258359
796	0.1020616271
797	0.101977653
798	0.1018465945
799	0.1017865135
800	0.1016686171
801	0.101575417
802	0.1014200051
803	0.101333145
804	0.1011890829
805	0.1010945178
806	0.1010700909
807	0.1008962999
808	0.1008132107
809	0.100741281
810	0.1006344004
811	0.1004930607
812	0.1004061374
813	0.100340502
814	0.1001561097
815	0.1000306288
816	0.09988229661
817	0.09975469425
818	0.09966711457
819	0.09951910445
820	0.09945273585
821	0.09930267905
822	0.09917195967
823	0.09904279009
824	0.09896174961
825	0.09878249809
826	0.09866091076
827	0.09856075301
828	0.09846452407
829	0.09842985073
830	0.09830674949
831	0.0981986564
832	0.09806403896
833	0.09794186514
834	0.09782811603
835	0.09770913617
836	0.09760160629
837	0.09755081706
838	0.09749719211
839	0.0974076951
840	0.09730295649
841	0.09715861403
842	0.0970639429
843	0.09701062584
844	0.09692545849
845	0.09688561512
846	0.09677216222
847	0.09665404567
848	0.09660941309
849	0.09648101077
850	0.09637680983
851	0.09623145554
852	0.09610409675
853	0.09606480671
854	0.09598047729
855	0.09590018389
856	0.09580633068
857	0.0957285426
858	0.09557932522
859	0.09542085855
860	0.09530017823
861	0.09521277631
862	0.09511926017
863	0.0950616394
864	0.09494713214
865	0.09485135788
866	0.09480041714
867	0.09464534947
868	0.09452278288
869	0.09445363064
870	0.09436020124
871	0.09428223939
872	0.09418257523
873	0.09412638827
874	0.09405687796
875	0.09396224105
876	0.09382623562
877	0.0937251171
878	0.09364940471
879	0.09351918329
880	0.09339088872
881	0.09330059139
882	0.0932525503
883	0.09312606169
884	0.09305877592
885	0.09297969853
886	0.09289847228
887	0.09279915858
888	0.09276045345
889	0.09263616918
890	0.09255130947
891	0.09240367359
892	0.09237208712
893	0.09226380422
894	0.09219839963
895	0.09208592031
896	0.09199491343
897	0.09194626314
898	0.09186600279
899	0.09178426041
900	0.09173300565
901	0.09165038005
902	0.09160758196
903	0.09155509169
904	0.09145439928
905	0.09136952662
906	0.09126270771
907	0.09120327049
908	0.09114919882
909	0.09106080458
910	0.09098045461
911	0.09083455994
912	0.09074870516
913	0.09067774969
914	0.09062536299
915	0.09049940369
916	0.09043251533
917	0.09031221101
918	0.09026505387
919	0.09019941858
920	0.09009673854
921	0.09000823406
922	0.08991697655
923	0.08984937051
924	0.08971496506
925	0.08962253483
926	0.08955118127
927	0.08947449563
928	0.0894053107
929	0.08934249748
930	0.08915826081
931	0.08905811719
932	0.08899977039
933	0.08883766603
934	0.08874510114
935	0.08863994438
936	0.08852052695
937	0.08843443912
938	0.0882604062
939	0.0881536165
940	0.08810926902
941	0.08801597115
942	0.08797331012
943	0.08790791057
944	0.08782169312
945	0.08765054003
946	0.087555604
947	0.08746985659
948	0.08735842539
949	0.08729338102
950	0.08720686168
951	0.08714193302
952	0.08706734636
953	0.08699489589
954	0.08688803866
955	0.08680596213
956	0.08673095667
957	0.0866336669
958	0.0865515796
959	0.08644190619
960	0.08635767637
961	0.08629468098
962	0.08622899491
963	0.08615933591
964	0.08611637648
965	0.08606176129
966	0.08599221843
967	0.08591649186
968	0.08586007771
969	0.0857466673
970	0.08569275282
971	0.08563264652
972	0.08555849878
973	0.08548874434
974	0.08537669199
975	0.08531721357
976	0.08526541126
977	0.08518325973
978	0.08506011239
979	0.08489061285
980	0.0847585264
981	0.08469316332
982	0.08457962306
983	0.08451100955
984	0.08439187714
985	0.08432011917
986	0.08417135736
987	0.08409193869
988	0.08399135458
989	0.08393518806
990	0.08383387701
991	0.08372622524
992	0.08362507866
993	0.08350723677
994	0.08344611142
995	0.08337512987
996	0.08327246527
997	0.08324661923
998	0.08318018023
999	0.0830507386
